c1,c2,stim,nparses,ratingcmp,ratingC1,ratingC2,bgJonesMewhort,bgSUBTLEX,bgFacebook,label
game,bag,gamebag,1,62.299999,65.533333,82.366669,10.2,-0.311252275,-0.34153833,1
saddle,bag,saddlebag,1,56.846153,61.974358,75.487183,10.2,-0.311252275,-0.34153833,1
kit,bag,kitbag,1,52.73077,52.653847,72.46154,8.43,-0.368585006,-0.373494219,1
sick,bag,sickbag,1,77.814812,76.333336,76.259262,6.78,-0.376818783,-0.400374046,1
sand,bag,sandbag,1,84.62162,87.216217,89.108109,7.33,-0.364368351,-0.395126906,1
work,bag,workbag,1,81.966667,79.300003,88,6.78,-0.376818783,-0.400374046,1
mail,bag,mailbag,1,83.351349,84.945946,89.270271,8.6,-0.36915888,-0.394313761,1
post,bag,postbag,1,72.15625,69.59375,83.78125,8.43,-0.368585006,-0.373494219,1
rag,bag,ragbag,1,58.103447,65.034485,76.413795,5.36,-0.377779361,-0.401226698,1
sand,bagger,sandbagger,1,74.148148,72.629631,72.925926,7.33,-0.364368351,-0.395126906,1
saddle,bags,saddlebags,1,85.774193,81.354836,87.3871,10.2,-0.311252275,-0.34153833,1
feed,bags,feedbags,1,69.958336,73.416664,83.541664,7.33,-0.364368351,-0.395126906,1
mail,bags,mailbags,1,87.375,86.085106,92.446808,8.6,-0.36915888,-0.394313761,1
carpet,bags,carpetbags,1,65.5,70,68.148148,8.43,-0.368585006,-0.373494219,1
gas,bags,gasbags,1,52.799999,66.160004,65.400002,8.59,-0.356676664,-0.378338393,1
post,bags,postbags,1,60.700001,67.73333,83,8.43,-0.368585006,-0.373494219,1
bean,bags,beanbags,1,74.75,46.107143,79.89286,8.42,-0.370885802,-0.395060031,1
sand,bags,sandbags,1,89.518517,88.703705,90.185188,7.33,-0.364368351,-0.395126906,1
hand,bags,handbags,1,84.5,64.772728,93.5,7.33,-0.364368351,-0.395126906,1
flea,bags,fleabags,1,53.416668,56.583332,52.208332,11.5,0.204263778,0.153605767,1
money,bags,moneybags,1,66.474998,85.800003,72.25,8.22,-0.240416714,-0.333869389,1
school,bags,schoolbags,1,91.958336,88.916664,97.625,8.6,-0.36915888,-0.394313761,1
crow,bait,crowbait,1,56.799999,58.599998,71.633331,6.89,-0.373488544,-0.392107012,1
hard,bake,hardbake,1,51.666668,60.125,62.25,7.33,-0.364368351,-0.395126906,1
clam,bake,clambake,1,60.599998,62.5,64.566666,10.7,-0.220929695,-0.261533469,1
clam,bakes,clambakes,1,50.46154,73.96154,59.884617,10.7,-0.220929695,-0.261533469,1
beach,ball,beachball,1,93.629631,77.296295,95.222221,8.2,-0.368110014,-0.390390487,1
ground,ball,groundball,1,71.681816,73.227272,85.86364,7.33,-0.364368351,-0.395126906,1
hard,ball,hardball,1,65.821426,70.071426,73.25,7.33,-0.364368351,-0.395126906,1
butter,ball,butterball,1,61.333332,53.333332,65.791664,9.63,-0.346074991,-0.378024861,1
goof,ball,goofball,1,55.729168,89.957443,17.829786,4.32,-0.377952406,-0.401414726,1
base,ball,baseball,1,63.447369,57,88.5,10.2,-0.311252275,-0.34153833,1
basket,ball,basketball,1,66.567566,58.756756,88.918922,8.43,-0.368585006,-0.373494219,1
racquet,ball,racquetball,1,81.14286,75.047623,74.14286,8.43,-0.368585006,-0.373494219,1
stick,ball,stickball,1,64.85714,62.17857,72.821426,6.78,-0.376818783,-0.400374046,1
hand,ball,handball,1,77.710526,78.578949,87.815788,7.33,-0.364368351,-0.395126906,1
eye,ball,eyeball,1,82.409088,88.454544,70.88636,10.2,-0.311252275,-0.34153833,1
pin,ball,pinball,1,65.23333,33.833332,83.199997,8.42,-0.370885802,-0.395060031,1
hair,ball,hairball,1,94.653847,94.153847,91.115387,9.63,-0.346074991,-0.378024861,1
knuckle,ball,knuckleball,1,62.258064,47.419353,71.096771,10.2,-0.311252275,-0.34153833,1
fire,ball,fireball,1,79.027023,83.135132,78.324326,10.2,-0.311252275,-0.34153833,1
spit,ball,spitball,1,79.708336,84.375,83.541664,8.43,-0.368585006,-0.373494219,1
grease,ball,greaseball,1,57.535713,61.5,36.892857,10.2,-0.311252275,-0.34153833,1
fast,ball,fastball,1,85.5,87.681816,86.909088,8.43,-0.368585006,-0.373494219,1
foot,ball,football,1,50.599998,41.025002,86.474998,8.43,-0.368585006,-0.373494219,1
sour,ball,sourball,1,61.119999,71.919998,64.599998,9.63,-0.346074991,-0.378024861,1
net,ball,netball,1,72.454544,76.181816,85.36364,8.43,-0.368585006,-0.373494219,1
punch,ball,punchball,1,58,65.291664,74.75,8.2,-0.368110014,-0.390390487,1
volley,ball,volleyball,1,76.964287,70.928574,88.35714,8.22,-0.240416714,-0.333869389,1
puff,ball,puffball,1,75.25,69.78125,80.125,4.32,-0.377952406,-0.401414726,1
tether,ball,tetherball,1,69.535713,75.14286,87.035713,9.63,-0.346074991,-0.378024861,1
bean,ball,beanball,1,57.900002,53.633335,76.366669,8.42,-0.370885802,-0.395060031,1
meat,ball,meatball,1,81.108109,91.054054,81.810814,8.43,-0.368585006,-0.373494219,1
paint,ball,paintball,1,89.964287,88.464287,83.785713,8.43,-0.368585006,-0.373494219,1
push,ball,pushball,1,62.916668,63.375,76.5,8.2,-0.368110014,-0.390390487,1
cannon,ball,cannonball,1,76.769234,73.615387,81.641029,8.42,-0.370885802,-0.395060031,1
track,ball,trackball,1,63.774193,54.483871,73.129036,6.78,-0.376818783,-0.400374046,1
snow,ball,snowball,1,93.384613,93.025642,90.564102,6.89,-0.373488544,-0.392107012,1
soft,ball,softball,1,60.205128,43.846153,91.717949,8.43,-0.368585006,-0.373494219,1
basket,balls,basketballs,1,70.115387,56.346153,90.53846,8.43,-0.368585006,-0.373494219,1
foot,balls,footballs,1,63.333332,49.5,86.099998,8.43,-0.368585006,-0.373494219,1
base,balls,baseballs,1,61.166668,52.200001,91.699997,10.2,-0.311252275,-0.34153833,1
butter,balls,butterballs,1,67.285713,69.964287,59,9.63,-0.346074991,-0.378024861,1
soft,balls,softballs,1,61.560001,36.799999,91.68,8.43,-0.368585006,-0.373494219,1
fast,balls,fastballs,1,85.214287,88.928574,86.35714,8.43,-0.368585006,-0.373494219,1
meat,balls,meatballs,1,91.666664,91.521736,81.608696,8.43,-0.368585006,-0.373494219,1
screw,balls,screwballs,1,50.958332,42.416668,55.041668,6.89,-0.373488544,-0.392107012,1
hand,balls,handballs,1,65.807693,65.653847,75.615387,7.33,-0.364368351,-0.395126906,1
puff,balls,puffballs,1,74.25,69.541664,79.708336,4.32,-0.377952406,-0.401414726,1
spit,balls,spitballs,1,74.68,79.040001,72.279999,8.43,-0.368585006,-0.373494219,1
cannon,balls,cannonballs,1,89.333336,83.708336,76.958336,8.42,-0.370885802,-0.395060031,1
racquet,balls,racquetballs,1,81.045456,85.409088,89.36364,8.43,-0.368585006,-0.373494219,1
eye,balls,eyeballs,1,86.689651,95.275864,74.137932,10.2,-0.311252275,-0.34153833,1
fire,balls,fireballs,1,83.181816,84.909088,77.272728,10.2,-0.311252275,-0.34153833,1
moth,balls,mothballs,1,52.545456,54.863636,69.181816,8.2,-0.368110014,-0.390390487,1
track,balls,trackballs,1,55.774193,60.548386,68.774193,6.78,-0.376818783,-0.400374046,1
black,balls,blackballs,1,61.142857,61.07143,69.214287,6.78,-0.376818783,-0.400374046,1
snow,balls,snowballs,1,93.125,92.125,84.875,6.89,-0.373488544,-0.392107012,1
hair,balls,hairballs,1,79.32,89.625,82.625,9.63,-0.346074991,-0.378024861,1
volley,balls,volleyballs,1,75.391304,72.826088,91.391304,8.22,-0.240416714,-0.333869389,1
neck,band,neckband,1,72.289474,84.631577,76.236839,6.78,-0.376818783,-0.400374046,1
nose,band,noseband,1,57.1875,70.854164,49.333332,10.2,-0.311252275,-0.34153833,1
waist,band,waistband,1,69.054054,86.216217,58.945946,8.43,-0.368585006,-0.373494219,1
arm,band,armband,1,75.485718,79.882355,77.323532,10.7,-0.220929695,-0.261533469,1
sweat,band,sweatband,1,64.272728,79.295456,77.477272,8.43,-0.368585006,-0.373494219,1
head,band,headband,1,79.605263,88.657898,78.736839,7.33,-0.364368351,-0.395126906,1
watch,band,watchband,1,63.625,74.949997,70.050003,8.2,-0.368110014,-0.390390487,1
wrist,band,wristband,1,78.75,87.324997,78.574997,8.43,-0.368585006,-0.373494219,1
watch,bands,watchbands,1,67.615387,69.346153,65.730766,8.2,-0.368110014,-0.390390487,1
arm,bands,armbands,1,84.928574,84.64286,80.89286,10.7,-0.220929695,-0.261533469,1
hat,bands,hatbands,1,51.833332,70.300003,66.133331,8.43,-0.368585006,-0.373494219,1
wrist,bands,wristbands,1,91.571426,87.928574,86.785713,8.43,-0.368585006,-0.373494219,1
head,bands,headbands,1,70.63636,87.045456,84.818184,7.33,-0.364368351,-0.395126906,1
sweat,bands,sweatbands,1,78.242424,83.42424,73.666664,8.43,-0.368585006,-0.373494219,1
waist,bands,waistbands,1,82.833336,80.833336,76.458336,8.43,-0.368585006,-0.373494219,1
neck,bands,neckbands,1,81.047623,78.619049,73.238098,6.78,-0.376818783,-0.400374046,1
sand,bank,sandbank,1,56.227272,90.88636,45.93182,7.33,-0.364368351,-0.395126906,1
river,bank,riverbank,1,64.28125,91.9375,42.75,9.63,-0.346074991,-0.378024861,1
snow,bank,snowbank,1,65.958336,98.541664,50.875,6.89,-0.373488544,-0.392107012,1
sand,banks,sandbanks,1,64.958336,88.916664,47,7.33,-0.364368351,-0.395126906,1
